Unnamed: 0,a11,a17,a23,a30,a36,a42,a48,a54,a60,a66,a72,a79,a85,a91,a97,a100,b5,b9,b10,b11,b13,b14,b17,b19,b30,b32,b33,b34,b35,b49,b50,b51,b52,b4,b8,b25,b66,b67,b68,b73,b77,b78,b79,b96,b97,b98,b103,b107,b108,b109,a1,a6,a12,a18,a25,a31,a37,a43,a49,a55,a61,a67,a73,a80,a86,a92,a5,a10,a16,a22,a29,a35,a41,a47,a53,a59,a65,a71,a77,a78,a84,a90,a96,a98,a2,a7,a13,a19,a24,a26,a32,a38,a44,a50,a56,a62,a68,a74,a75,a81,a87,a93
b111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,0.81,,0.8,0.8,0.82,,,,,0.81,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,0.8,0.86,0.87,0.85,0.86,0.84,0.82,0.88,0.8,0.88,0.8,0.84,0.83,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,0.89,0.87,0.83,0.88,0.85,,0.89,0.8,0.88,0.8,0.85,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,0.88,0.86,0.84,0.88,0.84,0.81,0.88,,0.88,0.81,0.84,0.81,0.82,0.83,0.87,,,,,,,,,,,,,,,,,,
b15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,0.82,0.8,0.81,0.81,0.8,0.8,0.82,,0.81,,0.81,0.81,,,0.81,,,,,,,,,,,,,,,,,,
b16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.82,0.82,0.81,0.82,0.84,0.83,0.85,0.84,0.85,0.8,0.83,0.84,0.83,0.84,0.81,0.8,0.86,,,,,,,,,,,,,,,,,,
b20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.8,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,
b21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,0.82,,,,,,0.8,,0.81,,,,,,,,,,,,,,,,,,
b23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,0.8,,0.81,,,,,,0.8,,,,,,,,,,,,,,,,,,,,
b27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,0.8,,0.81,,0.82,,,,0.8,,0.8,,0.8,,,,,,,,,,,,,,,,,,
b28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
b36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,0.8,,,,,0.81,0.83,,,,,,,,,,,,,,,,,,,,
b38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,0.81,,0.8,0.8,0.82,,,,,0.81,0.84,0.8,,,,,,,,,,,,,,,,,,,
b39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,0.8,0.86,0.87,0.85,0.86,0.84,0.82,0.88,0.8,0.88,0.8,0.84,0.83,0.85,0.86,0.87,,,,,,,,,,,,,,,,,,
b41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,0.89,0.87,0.83,0.88,0.85,,0.89,0.8,0.88,0.8,0.85,,0.82,0.85,0.89,,,,,,,,,,,,,,,,,,
b42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,0.82,,0.8,,,0.8,0.83,,0.8,,,,,,,,,,,,,,,,,,
b43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,0.8,0.8,,0.81,,0.82,,0.8,,,,0.83,,0.8,,,,,,,,,,,,,,,,,,
b44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,0.85,0.85,0.83,0.85,0.84,0.8,0.87,,0.85,0.81,0.84,0.8,0.82,0.82,0.85,,,,,,,,,,,,,,,,,,
b46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.8,,0.84,0.84,0.83,0.84,0.84,0.8,0.86,,0.85,0.8,0.83,0.8,0.82,0.82,0.85,,,,,,,,,,,,,,,,,,
b47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,0.82,0.83,0.82,0.83,0.83,,0.86,,0.83,,0.82,0.8,0.81,0.82,0.84,,,,,,,,,,,,,,,,,,
b48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,0.82,0.83,0.82,0.82,0.82,,0.84,,0.82,,0.8,,0.81,0.8,0.83,,,,,,,,,,,,,,,,,,
b53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,0.8,,,,0.8,,,,,,0.8,,,,,,,,,,,,,,,,,,,,
b54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,0.81,,0.8,,0.81,,,,,,,,0.8,,,,,,,,,,,,,,,,,,
b55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,0.87,0.87,0.84,0.88,0.86,0.81,0.88,,0.88,0.81,0.84,0.82,0.84,0.84,0.88,,,,,,,,,,,,,,,,,,
b56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,0.8,0.8,,0.81,,0.83,,0.8,,0.82,,0.8,,0.81,,,,,,,,,,,,,,,,,,
b57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,0.8,,,,0.8,,,,,0.8,0.81,,,,,,,,,,,,,,,,,,,,
b58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,0.93,0.89,0.85,0.91,0.84,,0.91,,0.91,,0.84,0.8,0.82,0.86,0.9,,,,,,,,,,,,,,,,,,
b59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.8,,0.85,0.86,0.83,0.85,0.85,0.8,0.87,,0.86,0.81,0.83,0.81,0.83,0.82,0.86,,,,,,,,,,,,,,,,,,
b60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,0.8,0.8,0.81,0.8,0.82,,0.83,,0.8,,0.81,,0.8,,0.82,,,,,,,,,,,,,,,,,,
b63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,0.8,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
b64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,0.8,0.8,0.81,,0.81,,0.84,,0.8,,0.8,,0.83,,0.81,,,,,,,,,,,,,,,,,,
b65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,0.81,0.8,0.82,0.81,0.82,,0.84,,0.81,,0.81,,0.83,0.8,0.82,,,,,,,,,,,,,,,,,,
b74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
b75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,0.8,0.88,0.86,0.86,0.86,0.84,0.82,0.89,,0.88,,0.84,0.83,0.85,0.85,0.88,,,,,,,,,,,,,,,,,,
b83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,0.8,0.8,,0.81,,0.82,,0.8,,,,0.83,,0.8,,,,,,,,,,,,,,,,,,
b85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,0.83,0.84,0.82,0.83,0.8,,0.85,,0.83,,0.81,,0.81,0.8,0.84,,,,,,,,,,,,,,,,,,
b86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.8,,0.82,0.84,0.83,0.82,0.84,0.81,0.85,,0.84,0.8,0.82,0.82,0.83,0.81,0.84,,,,,,,,,,,,,,,,,,
b94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,,0.92,0.9,0.85,0.91,0.86,0.81,0.91,0.8,0.9,0.8,0.86,0.81,0.84,0.85,0.91,,,,,,,,,,,,,,,,,,
b95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,0.8,,0.88,0.87,0.86,0.88,0.88,0.82,0.91,,0.88,0.82,0.85,0.83,0.87,0.85,0.89,,,,,,,,,,,,,,,,,,
b104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.8,,0.8,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
